2022-07-20 13:14:23 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 13:14:24 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 13:14:29 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:14:34 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:14:39 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:14:44 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:23:20 >> Node: name - testNode1, IP - 127.0.0.1, state - false.. Message [WARNING]: Неудалось подключиться!
2022-07-20 13:23:35 >> Node: name - testNode1, IP - 127.0.0.1, state - false.. Message [WARNING]: Неудалось подключиться!
2022-07-20 13:23:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 13:23:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 13:23:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:23:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 4.
2022-07-20 13:24:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 9.
2022-07-20 13:24:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 14.
2022-07-20 13:24:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:24:15 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 24.
2022-07-20 13:24:20 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 29.
2022-07-20 13:24:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 34.
2022-07-20 13:24:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 39.
2022-07-20 13:24:35 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 44.
